name;stars;contributors;commits;sbom_code;URL;path;dependencies;licenses;critical;high;medium;low;quality;format;version
github.com/sthagen/tallipoika;0;0;0;mn4gciyoe2ou3tlordjt.json;https://github.com/sthagen/tallipoika/blob/6eef9062b7530df61354155f9f092b7849386be4/etc/sbom/spdx.json;etc/sbom/spdx.json;0;0;0;0;0;0;3.7;JSON;SPDX
github.com/sthagen/tallipoika;0;0;0;0lxkgbp65kqj927sthxp.spdx;https://github.com/sthagen/tallipoika/blob/6eef9062b7530df61354155f9f092b7849386be4/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;3.7;SPDX;SPDX
github.com/sthagen/tallipoika;0;0;0;jorc20cwxlgu87lsu552.json;https://github.com/sthagen/tallipoika/blob/6eef9062b7530df61354155f9f092b7849386be4/etc/sbom/cdx.json;etc/sbom/cdx.json;0;0;0;0;0;0;3.26;JSON;CycloneDX
github.com/sthagen/taulukko;1;0;0;pjpq0wd28zzil8pawar2.yaml;https://github.com/sthagen/taulukko/blob/53692deaacf0069836634cb4fec0ef0a2c400e7c/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;3;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/taulukko;1;0;0;6u144andq0d05u34aq42.json;https://github.com/sthagen/taulukko/blob/53692deaacf0069836634cb4fec0ef0a2c400e7c/etc/sbom/spdx.json;etc/sbom/spdx.json;3;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/taulukko;1;0;0;f6jok30jakyy2dc9zwiq.spdx;https://github.com/sthagen/taulukko/blob/53692deaacf0069836634cb4fec0ef0a2c400e7c/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/taulukko;1;0;0;bhqzid4dgu4j8xgrjrvv.json;https://github.com/sthagen/taulukko/blob/53692deaacf0069836634cb4fec0ef0a2c400e7c/etc/sbom/cdx.json;etc/sbom/cdx.json;3;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/tekstialue;1;0;0;n36bm6tnk6q0u8ctkhn3.yaml;https://github.com/sthagen/tekstialue/blob/c786dbf929d769d96cb121d6a3c66d916a3d6f4b/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;2;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/tekstialue;1;0;0;joy1k1wispjkqd84ntqa.json;https://github.com/sthagen/tekstialue/blob/c786dbf929d769d96cb121d6a3c66d916a3d6f4b/etc/sbom/spdx.json;etc/sbom/spdx.json;2;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/tekstialue;1;0;0;igpluj374i6jtmt2wk0k.spdx;https://github.com/sthagen/tekstialue/blob/c786dbf929d769d96cb121d6a3c66d916a3d6f4b/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/tekstialue;1;0;0;572inmjfgbhdu317bte0.json;https://github.com/sthagen/tekstialue/blob/c786dbf929d769d96cb121d6a3c66d916a3d6f4b/etc/sbom/cdx.json;etc/sbom/cdx.json;2;0;0;0;0;0;5.65;JSON;CycloneDX
